16.05 20:08:30> Started trip loader task
16.05 20:09:35> Started trip loader task
16.05 20:11:14> Started trip loader task
16.05 20:12:51> Started trip loader task
16.05 20:14:03> Started trip loader task
16.05 20:14:04> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:18:17> 20: [459452] БАКУ | 1д | 1925 км | 11131р | R-375
16.05 20:18:17> 21: [449785] МИЛАН | 2д | 2286 км | 11150р | R-93
16.05 20:18:17> 22: [466130] ЕРЕВАН | 4д | 1805 км | 11188р | R-502
16.05 20:18:17> 23: [450359] БЕРЛИН | 8д | 1608 км | 11744р | R-270
16.05 20:18:17> 24: [458948] КЁЛЬН | 3д | 2085 км | 11927р | R-408
16.05 20:18:17> 25: [450454] АМСТЕРДАМ | 13д | 2148 км | 12026р | R234
16.05 20:18:17> 26: [447013] БУДАПЕШТ | 4д | 1569 км | 12032р | R-236
16.05 20:18:17> 27: [467074] РИМ | 171д | 2377 км | 12061р | R70
16.05 20:18:17> 28: [459158] COPENHAGEN | 3д | 1559 км | 12066р | R134
16.05 20:18:17> 29: [447335] ТБИЛИСИ | 38д | 1654 км | 12306р | R-446
16.05 20:18:17> 30: [466916] ГЕЛЕНДЖИК | 36д | 1244 км | 12370р | R167
16.05 20:18:17> 31: [464648] ЛОНДОН | 14д | 2489 км | 12390р | R186
16.05 20:18:17> 32: [447459] ВАРШАВА | 7д | 1156 км | 12446р | R-257
16.05 20:18:17> 33: [461669] ФРАНКФУРТ | 5д | 2031 км | 12503р | R13
16.05 20:18:17> 34: [448021] РИГА | 2д | 849 км | 12636р | R-663
16.05 20:18:17> 35: [446795] ПАРИЖ | 4д | 2487 км | 12782р | R200
16.05 20:18:17> 36: [447853] ТЕЛЬ-АВИВ | 9д | 2650 км | 12831р | R206
16.05 20:18:17> 37: [448685] НОВОСИБИРСК | 6д | 2797 км | 13257р | R-87
16.05 20:18:17> 38: [455533] GOTHENBORG | 3д | 1569 км | 13341р | R267
16.05 20:18:17> 39: [466519] АНТАЛЬЯ | 3д | 2159 км | 13397р | R339
16.05 20:18:17> 40: [459501] СТРАСБУРГ | 7д | 2167 км | 13452р | R650
16.05 20:18:17> 41: [459076] OSLO | 2д | 1643 км | 13812р | R-308
16.05 20:18:17> 42: [455289] BUCHAREST | 1д | 1499 км | 13982р | R-214
16.05 20:18:17> 43: [454650] THESSALONIKI | 13д | 2004 км | 14005р | R-8
16.05 20:18:17> 44: [447304] БЕЛГРАД | 23д | 1714 км | 14088р | R-96
16.05 20:18:17> 45: [472482] ТИВАТ | 7д | 2011 км | 14174р | R84
16.05 20:18:17> 46: [449695] БАРСЕЛОНА | 88д | 3010 км | 14176р | R-180
16.05 20:18:17> 47: [459049] GENEVA | 14д | 2419 км | 14189р | R431
16.05 20:18:17> 48: [474079] ТАЛЛИН | 0д | 867 км | 14391р | R-517
16.05 20:18:17> 49: [448352] СОФИЯ | 7д | 1775 км | 14708р | R-47
16.05 20:18:17> 50: [463763] ДЮССЕЛЬДОРФ | 1д | 2083 км | 14720р | R-721
16.05 20:18:17> 51: [448565] АФИНЫ | 6д | 2229 км | 14734р | R58
16.05 20:18:17> 52: [452579] ВЕНЕЦИЯ | 3д | 2103 км | 14981р | R127
16.05 20:18:17> 53: [447609] НИЦЦА | 4д | 2537 км | 15100р | R313
16.05 20:18:17> 54: [455187] MULHOUSE | 14д | 2244 км | 15108р | R517
16.05 20:18:17> 55: [459248] ЛАРНАКА | 7д | 2341 км | 15285р | R-337
16.05 20:18:17> 56: [473617] БРЮССЕЛЬ | 0д | 2253 км | 15547р | R-504
16.05 20:18:17> 57: [457508] ОДЕССА | 156д | 1142 км | 15553р | R-104
16.05 20:18:17> 58: [459626] НЮРНБЕРГ | 36д | 1910 км | 15642р | R251
16.05 20:18:17> 59: [473702] ВЕРОНА | 0д | 2182 км | 15652р | R-317
16.05 20:18:17> 60: [455357] LJUBLJANA | 6д | 1922 км | 15742р | R186
16.05 20:18:17> 61: [466716] ТРАБЗОН | 13д | 1649 км | 15904р | R188
16.05 20:18:17> 62: [465026] МАДРИД | 16д | 3441 км | 15971р | R-7
16.05 20:18:17> 63: [447367] БАТУМИ | 7д | 1599 км | 16139р | R139
16.05 20:18:17> 64: [459470] ТИРАНА | 11д | 2055 км | 16263р | R236
16.05 20:18:17> 65: [460990] БОЛОНЬЯ | 3д | 2232 км | 16882р | R79
16.05 20:18:17> 66: [448523] АЛМАТЫ | 7д | 3105 км | 16959р | R-173
16.05 20:18:17> 67: [454468] ГАННОВЕР | 2д | 1845 км | 17036р | R-450
16.05 20:18:17> 68: [451879] ДУБАЙ | 9д | 3682 км | 17398р | R215
16.05 20:18:17> 69: [448824] ВАРНА | 1д | 1558 км | 17639р | R-147
16.05 20:18:17> 70: [448833] ДРЕЗДЕН | 1д | 1651 км | 17673р | R-313
16.05 20:18:17> 71: [466080] САРАЕВО | 6д | 1905 км | 17727р | R85
16.05 20:18:17> 72: [474256] ЛЬВОВ | 0д | 1128 км | 18026р | R-637
16.05 20:18:17> 73: [468051] ЛИССАБОН | 8д | 3908 км | 18068р | R39
16.05 20:18:17> 74: [455750] BIRMINGHAM | 14д | 2565 км | 18070р | R266
16.05 20:18:17> 75: [455820] STUTTGART | 2д | 2067 км | 18164р | R-549
16.05 20:18:17> 76: [465863] ЭДИНБУРГ | 35д | 2510 км | 18236р | R254
16.05 20:18:17> 77: [447694] ЗАГРЕБ | 4д | 1869 км | 18563р | R-115
16.05 20:18:17> 78: [455565] HERAKLION | 14д | 2460 км | 18726р | R293
16.05 20:18:17> 79: [457794] ДУБЛИН | 6д | 2790 км | 18798р | R178
16.05 20:18:17> 80: [459303] АЛИКАНТЕ | 22д | 3410 км | 18917р | R-28
16.05 20:18:17> 81: [454616] BREMEN | 1д | 1876 км | 18997р | R-280
16.05 20:18:17> 82: [454611] BILLUND | 2д | 1769 км | 19005р | R-555
16.05 20:18:17> 83: [466804] ЛИОН | 2д | 2528 км | 19818р | R-313
16.05 20:18:17> 84: [448763] МАРСЕЛЬ | 7д | 2673 км | 19930р | R152
16.05 20:18:17> 85: [459653] ПАЛЬМА | 7д | 3123 км | 19969р | R334
16.05 20:18:17> 86: [466370] ТУРИН | 12д | 2404 км | 20035р | R-26
16.05 20:18:17> 87: [468923] КРАКОВ | 2д | 1346 км | 20085р | R-325
16.05 20:18:17> 88: [459454] АНТВЕРПЕН | 13д | 2232 км | 20105р | R439
16.05 20:18:17> 89: [454916] NEWCASTLE | 3д | 2452 км | 20394р | R265
16.05 20:18:17> 90: [475038] ТУЛУЗА | 3д | 2890 км | 20707р | R325
16.05 20:18:17> 91: [454817] EINDHOVEN | 7д | 2154 км | 20928р | R259
16.05 20:18:17> 92: [448310] МАЛАГА | 3д | 3779 км | 20978р | R-92
16.05 20:18:17> 93: [455641] MALTA | 3д | 2821 км | 21244р | R-69
16.05 20:18:17> 94: [449575] СПЛИТ | 21д | 2035 км | 21299р | R267
16.05 20:18:17> 95: [447629] НЕАПОЛЬ | 3д | 2374 км | 21434р | R-258
16.05 20:18:17> 96: [455188] SHANNON | 21д | 2987 км | 21531р | R641
16.05 20:18:17> 97: [455019] CATANIA | 11д | 2641 км | 21621р | R-132
16.05 20:18:17> 98: [455161] CASABLANCA | 10д | 4235 км | 21662р | R395
16.05 20:18:17> 99: [459420] МАНЧЕСТЕР | 29д | 2543 км | 21919р | R-260
16.05 20:18:17> 100: [454614] BELFAST | 7д | 2723 км | 22249р | R253
16.05 20:18:17> 101: [454607] LEEDS | 2д | 2482 км | 22841р | R15
16.05 20:18:17> 102: [447079] ДУБРОВНИК | 2д | 2020 км | 23016р | R-238
16.05 20:18:17> 103: [474424] АСТАНА | 0д | 2280 км | 23316р | R-208
16.05 20:18:17> 104: [454843] TUNIS | 344д | 2939 км | 23323р | R72
16.05 20:18:17> 105: [459605] ИРКУТСК | 16д | 4208 км | 23547р | R279
16.05 20:18:17> 106: [455732] ABU DHABI | 3д | 3738 км | 23615р | R391
16.05 20:18:17> 107: [451308] НЬЮ-ДЕЛИ | 30д | 4343 км | 24049р | R241
16.05 20:18:17> 108: [461702] БОРДО | 7д | 2925 км | 24269р | R301
16.05 20:18:17> 109: [455166] STAVANGER | 10д | 1926 км | 24721р | R71
16.05 20:18:17> 110: [448925] ПИЗА | 7д | 2348 км | 24912р | R-410
16.05 20:18:17> 111: [459121] BANGKOK | 9д | 7068 км | 25054р | R277
16.05 20:18:17> 112: [448657] ПАФОС | 33д | 2373 км | 25077р | R221
16.05 20:18:17> 113: [446983] ФЛОРЕНЦИЯ | 3д | 2293 км | 25319р | R-668
16.05 20:18:17> 114: [459575] МИКОНОС | 6д | 2235 км | 25451р | R222
16.05 20:18:17> 115: [459400] ГЛАЗГО | 1д | 2576 км | 25925р | R-118
16.05 20:18:17> 116: [454821] MUSCAT | 1д | 3957 км | 26140р | R141
16.05 20:18:17> 117: [447680] ПАЛЕРМО | 3д | 2670 км | 26339р | R82
16.05 20:18:17> 118: [454913] BAHRAIN | 37д | 3443 км | 26694р | R187
16.05 20:18:17> 119: [451789] ПЕКИН | 6д | 5795 км | 26783р | R-178
16.05 20:18:17> 120: [454908] TRONDHEIM | 4д | 1735 км | 26892р | R-74
16.05 20:18:17> 121: [447663] ПОРТУ | 7д | 3689 км | 26958р | R-163
16.05 20:18:17> 122: [450274] ПУЛА | 35д | 2054 км | 27388р | R-49
16.05 20:18:17> 123: [466445] СЕВИЛЬЯ | 7д | 3820 км | 27453р | R123
16.05 20:18:17> 124: [474181] ГАМБУРГ | 0д | 1782 км | 27821р | R-1532
16.05 20:18:17> 125: [455705] BERGEN | 7д | 1946 км | 27830р | R-172
16.05 20:18:17> 126: [459375] ПХУКЕТ | 8д | 7462 км | 28138р | R163
16.05 20:18:17> 127: [474999] КАИР | 0д | 2893 км | 28277р | R-367
16.05 20:18:17> 128: [466774] ГРАНАДА | 13д | 3692 км | 28896р | R147
16.05 20:18:17> 129: [459551] МОНПЕЛЬЕ | 27д | 2740 км | 28929р | R-35
16.05 20:18:17> 130: [465682] НЬЮ-ЙОРК | 6д | 7512 км | 28933р | R-246
16.05 20:18:17> 131: [454127] ХУРГАДА | 13д | 3192 км | 29413р | R-119
16.05 20:18:17> 132: [459422] АВИНЬОН | 4д | 2659 км | 29477р | R1099
16.05 20:18:17> 133: [455476] FARO | 14д | 3968 км | 29576р | R112
16.05 20:18:17> 134: [466777] САН-СЕБАСТЬЯН | 2д | 3119 км | 29857р | R-4
16.05 20:18:17> 135: [466937] ФУНШАЛ | 7д | 4867 км | 29918р | R193
16.05 20:18:17> 136: [454479] АММАН | 12д | 2676 км | 30071р | R338
16.05 20:18:17> 137: [455280] TENERIFE | 7д | 5233 км | 30375р | R-233
16.05 20:18:17> 138: [459543] БРЕСТ | 7д | 2934 км | 30456р | R83
16.05 20:18:17> 139: [466767] КАЛЬЯРИ | 14д | 2788 км | 30791р | R-63
16.05 20:18:17> 140: [451608] ХОШИМИН | 25д | 7713 км | 31519р | R-130
16.05 20:18:17> 141: [455628] PORTLAND | 116д | 7070 км | 32446р | R182
16.05 20:18:17> 142: [466102] АЛЬГЕРО | 15д | 2714 км | 33068р | R59
16.05 20:18:17> 143: [450764] СЕУЛ | 16д | 6607 км | 33408р | R134
16.05 20:18:17> 144: [466271] БАНГАЛОР | 49д | 5846 км | 33726р | R-70
16.05 20:18:17> 145: [465809] ТОКИО | 8д | 7480 км | 34133р | R137
16.05 20:18:17> 146: [450204] ЗАДАР | 29д | 2039 км | 34221р | R-82
16.05 20:18:17> 147: [458977] SHANGHAI | 7д | 6819 км | 34923р | R-186
16.05 20:18:17> 148: [451428] ГУАНЧЖОУ | 14д | 6993 км | 35038р | R-338
16.05 20:18:17> 149: [448627] КАРЛОВЫ ВАРЫ | 14д | 1755 км | 35363р | R211
16.05 20:18:17> 150: [466063] ГОНКОНГ | 6д | 7151 км | 35609р | R-339
16.05 20:18:17> 151: [448898] ЧИКАГО | 2д | 8001 км | 35731р | R-461
16.05 20:18:17> 152: [465745] ХАНОЙ | 34д | 6717 км | 35755р | R-26
16.05 20:18:17> 153: [466356] ДЖАКАРТА | 16д | 9314 км | 36063р | R-47
16.05 20:18:17> 154: [448844] РЕЙКЬЯВИК | 7д | 3306 км | 36184р | R-113
16.05 20:18:17> 155: [464468] АТЛАНТА | 10д | 8654 км | 36390р | R-48
16.05 20:18:17> 156: [454460] КОЛОМБО | 309д | 6575 км | 36545р | R-372
16.05 20:18:17> 157: [448527] МУМБАИ | 2д | 5027 км | 36698р | R-338
16.05 20:18:17> 158: [457416] СИНГАПУР | 14д | 8431 км | 36917р | R65
16.05 20:18:17> 159: [466094] ХАНЧЖОУ | 28д | 6841 км | 37114р | R-132
16.05 20:18:17> 160: [454411] ВАШИНГТОН | 2д | 7824 км | 37274р | R-526
16.05 20:18:17> 161: [448882] ЙОХАННЕСБУРГ | 3д | 9161 км | 37535р | R190
16.05 20:18:17> 162: [459219] КУНЬМИН | 20д | 6195 км | 37755р | R-188
16.05 20:18:17> 163: [465890] СИАНЬ | 31д | 5768 км | 38049р | R-19
16.05 20:18:17> 164: [447655] РИМИНИ | 3д | 2196 км | 38108р | R-185
16.05 20:18:17> 165: [466826] ЧЕННАЙ | 41д | 5991 км | 38233р | R-197
16.05 20:18:17> 166: [454753] HAVANA | 7д | 9603 км | 38256р | R2
16.05 20:18:17> 167: [450495] МАРРАКЕШ | 40д | 4427 км | 38412р | R-551
16.05 20:18:17> 168: [448888] УХАНЬ | 1д | 6412 км | 38471р | R-651
16.05 20:18:17> 169: [459202] CHARLOTTE | 10д | 8349 км | 38558р | R-26
16.05 20:18:17> 170: [451698] ЛОС-АНДЖЕЛЕС | 23д | 9772 км | 39039р | R-356
16.05 20:18:17> 171: [459489] ДАЛЯНЬ | 45д | 6175 км | 39733р | R-350
16.05 20:18:17> 172: [466672] ЦИНДАО | 24д | 6328 км | 39766р | R-28
16.05 20:18:17> 173: [459124] CINCINNATI | 49д | 8143 км | 39941р | R218
16.05 20:18:17> 174: [466178] ШЭНЬЧЖЭНЬ | 7д | 7115 км | 39999р | R-48
16.05 20:18:17> 175: [465879] ЧЭНДУ | 14д | 5789 км | 40038р | R-189
16.05 20:18:17> 176: [455811] GRAN CANARIA | 7д | 5188 км | 40419р | R-613
16.05 20:18:17> 177: [451699] ЧАНГ МАЙ | 14д | 6514 км | 40583р | R96
16.05 20:18:17> 178: [466745] ТОРОНТО | 11д | 7486 км | 40772р | R13
16.05 20:18:17> 179: [447992] ПНОМ ПЕНЬ | 7д | 7534 км | 41070р | R-32
16.05 20:18:17> 180: [466984] КАТМАНДУ | 8д | 4894 км | 41147р | R-176
16.05 20:18:17> 181: [448105] МАНИЛА | 150д | 8259 км | 41681р | R-543
16.05 20:18:17> 182: [465886] СИЕМРЕАП | 9д | 7300 км | 42303р | R90
16.05 20:18:17> 183: [448748] КОЧИ | 94д | 6086 км | 42720р | R-297
16.05 20:18:17> 184: [459272] БОСТОН | 8д | 7221 км | 42912р | R77
16.05 20:18:17> 185: [459316] ФОРТ-ЛОДЕРДЕЙЛ | 12д | 9188 км | 43203р | R-406
16.05 20:18:17> 186: [455966] БАЛИ (ДЕНПАСАР) | 14д | 10047 км | 43296р | R-28
16.05 20:18:17> 187: [448775] ЛАС-ВЕГАС | 14д | 9481 км | 43644р | R70
16.05 20:18:17> 188: [466475] ПАТТАЙЯ | 11д | 7196 км | 43669р | R348
16.05 20:18:17> 189: [459092] OAKLAND | 8д | 9441 км | 44144р | R-13
16.05 20:18:17> 190: [454602] JEDDAH | 27д | 3793 км | 44243р | R-409
16.05 20:18:17> 191: [459091] SAN JOSE | 9д | 9485 км | 44534р | R-190
16.05 20:18:17> 192: [466313] ТАЙБЭЙ | 55д | 7357 км | 45713р | R-105
16.05 20:18:17> 193: [466609] САН-ФРАНЦИСКО | 21д | 9447 км | 45819р | R-139
16.05 20:18:17> 194: [473768] КУАЛА-ЛУМПУР | 1д | 8129 км | 45984р | R-1108
16.05 20:18:17> 195: [466818] БАНДУНГ | 13д | 9423 км | 46839р | R46
16.05 20:18:17> 196: [459125] PORTLAND | 12д | 8597 км | 47127р | R-177
16.05 20:18:17> 197: [458915] CAPE TOWN | 14д | 10142 км | 48035р | R174
16.05 20:18:17> 198: [454825] LIVERPOOL | 8д | 2587 км | 48297р | R-353
16.05 20:18:17> 199: [466092] ОРЛАНДО | 30д | 9017 км | 48867р | R-180
16.05 20:18:17> 200: [454723] DAKAR | 14д | 6512 км | 48999р | R150
16.05 20:18:17> 201: [466489] ХЬЮСТОН | 12д | 9518 км | 49259р | R-430
16.05 20:18:17> 202: [459128] SALT LAKE CITY | 28д | 8905 км | 49322р | R-138
16.05 20:18:17> 203: [466773] САН-ДИЕГО | 4д | 9892 км | 49513р | R-201
16.05 20:18:17> 204: [454584] CEBU | 34д | 8837 км | 49815р | R66
16.05 20:18:17> 205: [455006] PUNTA CANA | 14д | 9267 км | 51224р | R121
16.05 20:18:17> 206: [448076] МЕХИКО | 14д | 10723 км | 52009р | R84
16.05 20:18:17> 207: [463678] НЯЧАНГ | 7д | 7738 км | 52215р | R-408
16.05 20:18:17> 208: [459216] DENVER | 12д | 8826 км | 52382р | R-360
16.05 20:18:17> 209: [459568] ОСТЕНДЕ | 6д | 2326 км | 52478р | R-211
16.05 20:18:17> 210: [458952] SAN JUAN | 13д | 9146 км | 53029р | R-194
16.05 20:18:17> 211: [459204] PHILADELPHIA | 15д | 7637 км | 53067р | R-77
16.05 20:18:17> 212: [459212] SEATTLE | 14д | 8373 км | 54537р | R-86
16.05 20:18:17> 213: [459404] ДАЛЛАС | 8д | 9263 км | 54575р | R-341
16.05 20:18:17> 214: [448785] МОНРЕАЛЬ | 2д | 7055 км | 55528р | R-887
16.05 20:18:17> 215: [458989] OTTAWA | 7д | 7161 км | 56169р | R-432
16.05 20:18:17> 216: [459491] ПЕРТ | 40д | 12222 км | 57248р | R67
16.05 20:18:17> 217: [455170] PANAMA CITY | 7д | 10804 км | 60021р | R-460
16.05 20:18:17> 218: [458950] WINNIPEG | 10д | 7548 км | 60638р | R-411
16.05 20:18:17> 219: [471310] СИДНЕЙ | 2д | 14500 км | 61012р | R-474
16.05 20:18:17> 220: [454609] PHILIPSBURG | 14д | 9009 км | 64638р | R-16
16.05 20:18:17> 221: [455470] NASSAU | 7д | 9147 км | 66336р | R-45
16.05 20:18:17> 222: [459089] CALGARY | 10д | 7847 км | 66730р | R45
16.05 20:18:17> 223: [458918] EDMONTON | 16д | 7580 км | 67695р | R307
16.05 20:18:17> 224: [466033] МЕЛЬБУРН | 176д | 14431 км | 67701р | R-187
16.05 20:18:17> 225: [448851] ОКЛЕНД | 38д | 16203 км | 69234р | R102
16.05 20:18:17> 226: [459396] САНТО-ДОМИНГО | 10д | 9366 км | 70808р | R-604
16.05 20:18:17> 227: [459171] VANCOUVER | 14д | 8204 км | 72361р | R-370
16.05 20:18:17> 228: [446811] РИО-ДЕ-ЖАНЕЙРО | 6д | 11542 км | 72830р | R-210
16.05 20:18:17> 229: [455191] CHRISTCHURCH | 10д | 16573 км | 72934р | R-85
16.05 20:18:17> 230: [448887] ГОНОЛУЛУ | 3д | 11325 км | 74246р | R-396
16.05 20:18:17> 231: [466815] КИТО | 14д | 11619 км | 76439р | R113
16.05 20:18:17> 232: [465816] БОГОТА | 61д | 10907 км | 80403р | R-503
16.05 20:18:17> 233: [459567] КВИНСТАУН | 3д | 16441 км | 80738р | R-25
16.05 20:18:17> 234: [454600] CANBERRA | 2д | 14491 км | 81445р | R-337
16.05 20:18:17> 235: [465761] САН-ПАУЛУ | 1д | 11818 км | 82596р | R-844
16.05 20:18:17> 236: [459222] АКАПУЛЬКО | 14д | 11022 км | 85465р | R-181
16.05 20:18:17> 237: [459512] САН-ХОСЕ | 4д | 10961 км | 88910р | R-447
16.05 20:18:17> 238: [458919] ANCHORAGE | 14д | 6993 км | 89568р | R-341
16.05 20:18:17> 239: [450884] БУЭНОС-АЙРЕС | 14д | 13479 км | 93388р | R-148
16.05 20:18:17> 240: [459619] СИАНУКВИЛЬ | 14д | 7536 км | 93545р | R-498
16.05 20:18:17> 241: [451158] САНТЬЯГО | 7д | 14125 км | 118071р | R-548
16.05 20:18:17> 242: [474819] КАНКУН | 0д | 10014 км | 121351р | R-2249
16.05 20:18:17> 243: [473654] ЛИМА | 0д | 12649 км | 130142р | R-1805
16.05 20:18:17> 244: [466065] КУСКО | 15д | 12472 км | 130415р | R-818
16.05 20:18:17> 245: [459492] АГРА | 7д | 4519 км | 183177р | R293
16.05 20:19:26> Started trip loader task
16.05 20:19:26> 1: [461877] РОСТОВ-НА-ДОНУ | 6д | 957 км | 3743р | R82
16.05 20:19:26> 2: [465994] МИНСК | 3д | 675 км | 4188р | R19
16.05 20:19:26> 3: [461371] КАЗАНЬ | 4д | 731 км | 4751р | R38
16.05 20:19:26> 4: [448793] НИЖНИЙ НОВГОРОД | 4д | 387 км | 4800р | R27
16.05 20:19:26> 5: [448039] ЕКАТЕРИНБУРГ | 3д | 1430 км | 5607р | R22
16.05 20:19:26> 6: [449008] УФА | 16д | 1164 км | 7245р | R26
16.05 20:19:26> 7: [459426] БАКУ | 149д | 1925 км | 7564р | R404
16.05 20:19:26> 8: [459513] КИШИНЁВ | 62д | 1149 км | 8040р | R32
16.05 20:19:26> 9: [448130] ВИЛЬНЮС | 8д | 791 км | 8393р | R13
16.05 20:19:26> 10: [448595] АНАПА | 20д | 1207 км | 8819р | R257
16.05 20:19:26> 11: [471408] ЕРЕВАН | 4д | 1805 км | 8846р | R40
16.05 20:19:26> 12: [459017] HELSINKI | 6д | 894 км | 9137р | R131
16.05 20:19:26> 13: [451067] ТБИЛИСИ | 165д | 1654 км | 9630р | R35
16.05 20:19:26> 14: [471445] РИГА | 8д | 849 км | 9769р | R81
16.05 20:19:26> 15: [449392] СТАМБУЛ | 20д | 1764 км | 10077р | R151
16.05 20:19:26> 16: [454511] KIEV | 24д | 756 км | 10158р | R9
16.05 20:19:26> 17: [447024] ПРАГА | 4д | 1668 км | 10404р | R4
16.05 20:19:26> 18: [450325] БЕРЛИН | 63д | 1608 км | 10413р | R58
16.05 20:19:26> 19: [447006] БУДАПЕШТ | 7д | 1569 км | 10467р | R18
16.05 20:19:26> 20: [447262] ВЕНА | 3д | 1670 км | 10749р | R81
16.05 20:19:26> 21: [447441] ВАРШАВА | 4д | 1156 км | 10823р | R20
16.05 20:19:26> 22: [449784] МИЛАН | 7д | 2286 км | 11150р | R107
16.05 20:19:26> 23: [448394] ДЮССЕЛЬДОРФ | 4д | 2083 км | 11680р | R59
16.05 20:19:26> 24: [448512] АЛМАТЫ | 7д | 3105 км | 11703р | R392
16.05 20:19:26> 25: [450454] АМСТЕРДАМ | 13д | 2148 км | 12026р | R234
16.05 20:19:26> 26: [467074] РИМ | 171д | 2377 км | 12061р | R70
16.05 20:19:26> 27: [459158] COPENHAGEN | 3д | 1559 км | 12066р | R134
16.05 20:19:26> 28: [474614] НОВОСИБИРСК | 10д | 2797 км | 12237р | R58
16.05 20:19:26> 29: [448180] ТАЛЛИН | 3д | 867 км | 12268р | R17
16.05 20:19:26> 30: [471717] ОДЕССА | 7д | 1142 км | 12299р | R60
16.05 20:19:26> 31: [466916] ГЕЛЕНДЖИК | 36д | 1244 км | 12370р | R167
16.05 20:19:26> 32: [464648] ЛОНДОН | 14д | 2489 км | 12390р | R186
16.05 20:19:26> 33: [461669] ФРАНКФУРТ | 5д | 2031 км | 12503р | R13
16.05 20:19:26> 34: [446795] ПАРИЖ | 4д | 2487 км | 12782р | R200
16.05 20:19:26> 35: [447853] ТЕЛЬ-АВИВ | 9д | 2650 км | 12831р | R206
16.05 20:19:26> 36: [466579] ГАМБУРГ | 28д | 1782 км | 13045р | R160
16.05 20:19:26> 37: [447738] БРЮССЕЛЬ | 3д | 2253 км | 13066р | R71
16.05 20:19:26> 38: [455533] GOTHENBORG | 3д | 1569 км | 13341р | R267
16.05 20:19:26> 39: [466519] АНТАЛЬЯ | 3д | 2159 км | 13397р | R339
16.05 20:19:26> 40: [455343] BUCHAREST | 8д | 1499 км | 13448р | R132
16.05 20:19:26> 41: [459501] СТРАСБУРГ | 7д | 2167 км | 13452р | R650
16.05 20:19:26> 42: [454467] ГАННОВЕР | 32д | 1845 км | 13512р | R217
16.05 20:19:26> 43: [459069] OSLO | 3д | 1643 км | 13701р | R3
16.05 20:19:26> 44: [471810] ЛЬВОВ | 4д | 1128 км | 13765р | R51
16.05 20:19:26> 45: [454646] THESSALONIKI | 8д | 2004 км | 13870р | R5
16.05 20:19:26> 46: [447303] БЕЛГРАД | 5д | 1714 км | 14037р | R10
16.05 20:19:26> 47: [449694] БАРСЕЛОНА | 14д | 3010 км | 14129р | R25
16.05 20:19:26> 48: [472482] ТИВАТ | 7д | 2011 км | 14174р | R84
16.05 20:19:26> 49: [459049] GENEVA | 14д | 2419 км | 14189р | R431
16.05 20:19:26> 50: [454610] BILLUND | 3д | 1769 км | 14328р | R157
16.05 20:19:26> 51: [448350] СОФИЯ | 3д | 1775 км | 14328р | R36
16.05 20:19:26> 52: [448832] ДРЕЗДЕН | 6д | 1651 км | 14403р | R212
16.05 20:19:26> 53: [447819] ВЕРОНА | 4д | 2182 км | 14415р | R202
16.05 20:19:26> 54: [448565] АФИНЫ | 6д | 2229 км | 14734р | R58
16.05 20:19:26> 55: [455880] STUTTGART | 63д | 2067 км | 14846р | R126
16.05 20:19:26> 56: [452579] ВЕНЕЦИЯ | 3д | 2103 км | 14981р | R127
16.05 20:19:26> 57: [447609] НИЦЦА | 4д | 2537 км | 15100р | R313
16.05 20:19:26> 58: [455187] MULHOUSE | 14д | 2244 км | 15108р | R517
16.05 20:19:26> 59: [474761] ВАРНА | 7д | 1558 км | 15293р | R347
16.05 20:19:26> 60: [459626] НЮРНБЕРГ | 36д | 1910 км | 15642р | R251
16.05 20:19:26> 61: [450580] МАДРИД | 9д | 3441 км | 15685р | R22
16.05 20:19:26> 62: [455357] LJUBLJANA | 6д | 1922 км | 15742р | R186
16.05 20:19:26> 63: [466716] ТРАБЗОН | 13д | 1649 км | 15904р | R188
16.05 20:19:26> 64: [447367] БАТУМИ | 7д | 1599 км | 16139р | R139
16.05 20:19:26> 65: [459470] ТИРАНА | 11д | 2055 км | 16263р | R236
16.05 20:19:26> 66: [446970] ФЛОРЕНЦИЯ | 6д | 2293 км | 16875р | R97
16.05 20:19:26> 67: [460990] БОЛОНЬЯ | 3д | 2232 км | 16882р | R79
16.05 20:19:26> 68: [447693] ЗАГРЕБ | 15д | 1869 км | 17019р | R3
16.05 20:19:26> 69: [451879] ДУБАЙ | 9д | 3682 км | 17398р | R215
16.05 20:19:26> 70: [447627] НЕАПОЛЬ | 4д | 2374 км | 17504р | R14
16.05 20:19:26> 71: [466080] САРАЕВО | 6д | 1905 км | 17727р | R85
16.05 20:19:26> 72: [448919] ПИЗА | 3д | 2348 км | 17924р | R104
16.05 20:19:26> 73: [468051] ЛИССАБОН | 8д | 3908 км | 18068р | R39
16.05 20:19:26> 74: [455750] BIRMINGHAM | 14д | 2565 км | 18070р | R266
16.05 20:19:26> 75: [466801] ЛИОН | 5д | 2528 км | 18163р | R111
16.05 20:19:26> 76: [465863] ЭДИНБУРГ | 35д | 2510 км | 18236р | R254
16.05 20:19:26> 77: [466367] ТУРИН | 7д | 2404 км | 18479р | R190
16.05 20:19:26> 78: [454620] BREMEN | 21д | 1876 км | 18622р | R44
16.05 20:19:26> 79: [455565] HERAKLION | 14д | 2460 км | 18726р | R293
16.05 20:19:26> 80: [457794] ДУБЛИН | 6д | 2790 км | 18798р | R178
16.05 20:19:26> 81: [459302] АЛИКАНТЕ | 5д | 3410 км | 18819р | R280
